review;label
tidak semua lagu album bisa putar padahal langgan premium contoh album scorpion lovedrive lagu lissie 1 2 semua bisa putar iphone ponsel android nggak bisa rugi sih udah bayar dapat setengah2;0
maaf min kasi rating 2 bintang awal download sangat suka aplikasi sportify ofline mas bisa dengar musik download lagu skrng tidak bisa guna ofline terus online tidak ada lirik lagu nya apa hulasan lengkapmaaf min kasi rating 2 bintang awal download sangat suka aplikasi sportify ofline mas bisa dengar musik download lagu skrng tidak bisa guna ofline terus online tidak ada lirik lagu nya apa langgan premium thanks min;0
overall baguss yaaa cuma tambahin tema tema dongg biar bisa ganti ganti gituu jadi ga dark mulu theme nya trus tolong dongg jangan ada fitur yg tidak bisa putar laguu ngeselin sumpahh mau muter lagu tiba tiba gabisa trus suka henti sendiri lagu tolong baik yaa admin aku udah pake premium lhoo aku gamau rugi aku pengin jadi guna setia sama app tolong admin tolong baik;0
bagus sih cuma beberapa lagu tahan sana sheila on 7 kok gak ada udah berkalikali searching tetap gak ketemu emang sono gak masuk spotify gimana mohon maksimal lg depan banyak lagulagunya biar makin lengkap;0
walaupun bukan guna aktif hari dengar lagu2 spotify sangat suka aplikasi lagu rating tinggi sedang trending sangat mudah dapat sini;1
cuman satu kurang library musik kadang ada dar dulu terus tiba tiba hilang hari muncul sendiri masalah copyrigth ato gimana gua gk paham jelas mohon pihak spotify jangan suka ngilang ngilangin lagu udah edar hahahaha moga dengar;0
spotify knp jadi jelek lama2 padahal dah pakai yg premium promo nya kualitas lebih baik kalau pakai premium hasil nya musik putus2 baik yg sdh download online sdh cd rusak padahal kalau ada baharu selalu ikut baru2 pakai bagus lancar ga pernah putus2 sekarang sering banget putus2 kalau putar;0
terima kasih buat aplikasi the best of the best music spotify yg kaya segala jenis genre musik spotify layak harus dapat harga mtv guinnes book atas wawas bagai jenisaliran musik jaman jaman lagu frank sinatra sekarang warga sangat terima kasih banyak atas sempat dengar lagu gratis premium 3 bulan the great music spotify wasallam;1
sangat suka aplikasi karna lagu hampir semua ada cuma beri 4 bintang krna hp klo mengshare lagu instagram story tidak bisa mohon bantu langgan premium trimakasih;1
awal bagus tp sekarang tiap kali putar knp hrs shuftle yaa jdi ribet mau dengerin lagu mohon baik punya kemarn dengerin lagu fiersa besar lngsung muncul semua lagu tinggal mutar skrng hrs shuftle dulu ribet bngt jadi;0
diupdate malah kurang muas lagu yg suka gak bisa putar cuman nyala beberapa detik aja gak bisa didengerin full kalau bisa difix cepetan guna nyaman kalau tak kunjung ada ubah paksa uninstall deh;0
daily mix nya sering sekali putar shuffle kadang bisa putar tanpa shuffle lalu tekan tombol sembunyi lagu lagu tidak putar biasa bisa ada lagu tekan tombol lagu putar mohon baik;0
niat gak sih bikin konten musik makin lama makin sebal mau dengerin musik lagu yg dimasukin playlist gk ada malah puter lagu habis iklan banyak sih ngasih iklan timbang jumlah durasi beri terimakasih;0
bagus si bagus cuma ada kurang tolong baik biar mkin bnyk yg download ikut adlh kurang yg aku alami kalo ken ngulangin lagu ny g bisa hrus pkai data biar lagu bisa diputerin ganti trs kadang muterin playsit yg suka nah tdk lama kmudian ad lagu yg belum favoritin lagu yg favorit in belum ad stnghnya diputerin knp lgu kupukupu kertas g bisa aku puterin;0
kesan pertama nyoba ken yg premium upgrade premiumwaauuu telinga waktu sangat manja sekali terima kasih spotifypakai yg premium gak bakal nyesel boys and girl;1
spotify jadi tidak bisa pakai awal tidak hubung internet beberapa jam kemudian padahal sinyal bagus lalu copot pasang app sekarang buka spotify selalu keluar layar hitam;0
ksih 5bintakalau ada 10bintangsih ksihkarena aplikasi inimenyenangkanudah offline ada dj yg paling enakada lagu nias mantap pokoknyaaplikasi memuaskansalam yaahowu syalom;1
downloadan lagu yg udah didownload gak bisa putar kan terang ada tulis gratis bisa offline didownload apa emang masuk mode premium baru bisa dengerin sama bukan gratis tpi masuk mode premium bayar baru bisa denerin lagu nya sama aj kalau bayar mending gag usah ada tulis terang aplikasi bisa memdengarkan lagu gratis trimakasih;0
kalau mau shuffle silah lagu ga ada playlist putar apa guna playlist kalau lagu ga ada diadaadain lagu suka ga suka putar random mana lagu dengar lama muncul malah mutar duluan entah lagu apa kalau mau promo lagu orang silah kan ada iklan muncul random sih edit playlisnya diadain lagu random edit putar tetap aja entah lagu apapayah;0
aplikasi bagus sihtapi karna banyak iklan jadi aku kasih bintang 3iklannya aja bisah sampek 35 iklanjadi aku kasih bintang 3ya kalau aku sihdi kurang aj iklananyamakasih;0
okay aku sebenernya suka spotify sejak dulu aku ngerti premium cuma aku mau tanya kok gabisa share lagu instastory belum aku bisa kok share instastory;0
